;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
0;Masculino;comercio;fabrica de ;prado;3;10.0;13/07/2018;5000000;microempresarial;"Masculino; comercio; fabrica de ; prado; 3; 10.0; 43294; 5000000; microempresarial"
1;Femenino;servicio;recreativo-educativo;barrio caicedo;1;9.0;30/10/2017;6000000;microempresarial;"Femenino; servicio; recreativo-educativo; barrio caicedo; 1; 9.0; 43038; 6000000; microempresarial"
2;Femenino;comercio;tienda;aranjuez;2;4.0;3/08/2017;7300000;microempresarial;"Femenino; comercio; tienda; aranjuez; 2; 4.0; 42950; 7300000; microempresarial"
3;Masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000;microempresarial;"Masculino; comercio; variedades; cabecera san cristobal; 3; 60.0; 43059; 7000000; microempresarial"
4;Femenino;comercio;fabrica de ;robledo;2;7.0;23/02/2017;5000000;microempresarial;"Femenino; comercio; fabrica de ; robledo; 2; 7.0; 42789; 5000000; microempresarial"
5;Femenino;comercio;variedades;picachito;1;6.0;31/05/2017;7000000;microempresarial;"Femenino; comercio; variedades; picachito; 1; 6.0; 42886; 7000000; microempresarial"
6;Femenino;industria;fabrica de ;guayabal;3;15.0;20/02/2016;$ 2,000,000.00;microempresarial;"Femenino; industria; fabrica de ; guayabal; 3; 15.0; 42420; $ 2,000,000.00; microempresarial"
7;Femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000;microempresarial;"Femenino; comercio; tienda; carpinelo; 1; 1.0; 42780; 3300000; microempresarial"
8;Masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000;microempresarial;"Masculino; comercio; variedades; belalcazar; 2; 5.0; 43227; 7800000; microempresarial"
9;Femenino;comercio;variedades;manrique central no. 1;1;4.0;3/05/2018;7800000;microempresarial;"Femenino; comercio; variedades; manrique central no. 1; 1; 4.0; 43223; 7800000; microempresarial"
10;Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial;"Femenino; industria; fabrica de ; manrique central no. 2; 2; 3.0; 42794; 4500000; microempresarial"
11;Masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000;agropecuaria;"Masculino; agropecuaria; sembrados; santa elena central; 2; 90.0; 42727; 13000000; agropecuaria"
12;Femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000;microempresarial;"Femenino; comercio; comidas rapidas; andalucia; 2; 2.0; 43202; 7800000; microempresarial"
13;Masculino;industria;fabrica de ;san javier no.1;1;13.0;23/08/2018;4000000;microempresarial;"Masculino; industria; fabrica de ; san javier no.1; 1; 13.0; 43335; 4000000; microempresarial"
14;Masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000;microempresarial;"Masculino; servicio; variedades; belencito; 2; 13.0; 43311; 7800000; microempresarial"
15;Masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000;microempresarial;"Masculino; comercio; miscelanea; centro admtivo; 3; 10.0; 43145; 1000000; microempresarial"
16;Femenino;comercio;variedades;cabecera san antonio ;2;80.0;16/11/2017;7000000;microempresarial;"Femenino; comercio; variedades; cabecera san antonio ; 2; 80.0; 43055; 7000000; microempresarial"
17;Femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000;microempresarial;"Femenino; servicio; cafe e internet; manrique central no. 1; 3; 4.0; 43584; 8000000; microempresarial"
18;Masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000;microempresarial;"Masculino; comercio; tienda; villa hermosa; 3; 8.0; 43278; 5000000; microempresarial"
19;Femenino;comercio;venta de calzado;playon de los ;2;2.0;27/02/2017;7000000;microempresarial;"Femenino; comercio; venta de calzado; playon de los ; 2; 2.0; 42793; 7000000; microempresarial"
20;Femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000;microempresarial;"Femenino; comercio; productos de belleza; buenos aires; 3; 9.0; 42940; 7300000; microempresarial"
